# gals field z mass r_edge sigma_edge re n ar pa
7510 cosmos 0.9107999801635742 14757219200.956842 10.0 3.1024995764494157 0.433152 1.0808 0.2772 36.0689
7589 cosmos 0.9455000162124634 26553795493.462555 9.5 22.982604105506837 0.564018 0.8397 0.301 52.5
7739 cosmos 0.7293999791145325 19848836601.48758 16.5 2.1199152234210783 1.07744 0.7787 0.1 1.0
7868 cosmos 0.4917 15455265750.798283 14.5 1.9819473242149004 0.92109 1.1035 0.498 -88.005
8050 cosmos 1.0457 42388357387.01964 10.5 24.905028109643574 0.73989 8.0 0.6325 -50.8847
8109 cosmos 0.7283 31646303498.064354 12.5 8.823766092675204 0.488832 1.1467 0.4737 -43.7461
8138 cosmos 0.9807999730110168 15244884580.99124 7.5 19.353172643182276 0.369432 0.553 0.5869 -73.5086
8144 cosmos 0.9581999778747559 48604672577.144585 7.5 53.832619802510436 0.181872 1.718 0.5824 40.4099
8180 cosmos 0.7497 22648020688.280544 11.5 4.149811087044711 0.450738 1.3592 0.917 -45.7524
8334 cosmos 0.833299994468689 46272195943.58041 8.5 9.589266659215665 0.263574 1.7489 0.6128 24.5481
8347 cosmos 0.6674 70012338650.94405 19.5 0.7711826013459475 1.14155 0.8629 0.1711 -71.2135
8429 cosmos 0.4341999888420105 45325816028.63186 13.5 3.9659468931966764 0.465756 3.5426 0.65 80.0
8725 cosmos 0.6671 13322124650.294546 8.5 14.419357569421319 0.298218 2.3702 0.4342 44.8703
8793 cosmos 0.7276 53815709480.25802 11.5 16.34368589066531 0.228684 3.5143 0.5456 -7.5161
8797 cosmos 0.7504000067710876 167352261481.76514 29.5 9.20714618167342 1.22028 4.028 0.5327 -72.2519
9217 cosmos 0.4392000138759613 58217181017.890564 22.5 2.4060956686603845 1.46273 1.5257 0.94 94.0
9259 cosmos 0.7258999943733215 34405960672.423294 14.5 8.606869484952066 0.741924 1.0353 0.3294 -84.1434
9545 cosmos 0.7477 66569428444.957436 13.5 14.096342518441045 0.523524 1.9347 0.85 -45.0
9592 cosmos 0.6880999803543091 22217004529.339725 6.5 47.109750486417006 0.140352 1.908 0.3816 -61.7062
9624 cosmos 0.926471 93145224729.18968 15.5 3.2794873321994875 0.877158 0.8071 0.233 -20.9188
9636 cosmos 0.8804 19247933797.950485 14.5 6.889180432202623 0.734916 1.2285 0.3759 37.7348
9687 cosmos 0.7577000260353088 26020467432.51112 15.5 4.432632641176215 0.697668 1.8076 0.47 -15.0
9693 cosmos 0.361 19332039339.24801 20.0 1.6721869049326628 0.601494 3.934 0.025 17.5
9832 cosmos 0.7304 48919663113.35801 18.5 10.666167389115314 0.705582 2.2663 0.4295 -81.9698
9848 cosmos 0.3596 31532778715.261475 15.5 3.4343336144780476 0.966876 1.604 0.73 45.0
10038 cosmos 0.3593 35593447214.233284 11.5 6.160774309930328 0.451956 3.7219 0.6793 31.7969
10049 cosmos 0.18545 50182403300.87392 19.5 2.3781319221440875 2.19967 1.0386 0.2745 -23.24
10122 cosmos 0.9387000203132629 200185889717.38522 13.5 41.48981877920987 0.404034 4.3325 0.6986 3.3043
10143 cosmos 0.21950000524520874 69939822194.232 18.5 3.6982374128700832 1.80605 1.964 0.7 -28.5
10283 cosmos 0.167 21563061118.14678 11.5 3.638984542931367 0.808284 5.419 0.7802630427377006 110.80325943038713
10364 cosmos 0.5102 56864677307.01804 23.5 1.9363619301196964 1.4387 1.0281 0.6221 66.2651
10378 cosmos 0.7573 27853906712.38354 10.5 9.007475796225771 0.272304 2.6416 0.2259 -32.1496
10389 cosmos 0.9348000288009644 52396828010.32984 12.5 13.968422523188796 0.598896 0.9422 0.4067 -58.6142
10390 cosmos 0.4405 46114984778.70104 12.5 5.919924262140314 0.487812 1.4207 0.51 35.0
10486 cosmos 0.5019 37181775674.99533 10.5 7.769279555227564 0.41259 0.9389 0.8522 7.4394
10538 cosmos 0.7268999814987183 39670250660.11205 17.5 8.318960156337473 1.01461 2.4007 0.5605 80.2832
10700 cosmos 0.3602 22401073148.20322 12.5 5.942016999148134 0.71523 2.6735 0.3802 55.5493
10748 cosmos 0.2197 18792966664.623913 10.5 3.5816626657000823 0.73092 3.1494 0.95 60.0
10755 cosmos 0.7512999773025513 128454564676.03674 19.5 22.76113931453684 1.23272 3.9343 0.3773 82.06
10927 cosmos 0.6872000098228455 56600361376.41079 15.5 12.06622433247152 0.639912 1.1902 0.4133 -80.8258
11043 cosmos 0.47600001096725464 57796884928.53757 16.5 9.391296691284252 0.357042 4.3324 0.4223 -66.4937
11051 cosmos 0.4604 36446644076.163795 12.5 6.093608406478719 0.49077 1.3137 0.4571 -42.1355
11095 cosmos 0.7495 80156278085.76178 12.5 24.9190036960435 0.259896 2.9697 0.3562 -71.4408
11115 cosmos 0.8335999846458435 47240623157.95034 12.5 11.133501558249774 0.437988 4.6164 0.68 90.0
11170 cosmos 0.942993 176071082041.56815 23.5 4.2879395751183695 0.82575 2.3945 0.3369 -54.4608
11332 cosmos 0.36579999327659607 41231978133.850426 17.5 3.4660393712933475 1.05768 1.3419 0.5027 -33.1616
11387 cosmos 0.475360022479435 88947010899.64993 28.5 0.8173062361704659 1.24755 3.328 0.5212 -55.9369
11601 cosmos 0.3258 31637709442.55255 13.5 3.190859943459268 0.923382 1.4489 0.89 -45.0
11637 cosmos 0.8313000202178955 25289185839.05583 7.5 28.718059232697684 0.286476 2.1115 0.6383 2.0827
11662 cosmos 0.7353 22126024398.91018 8.5 14.502705260864936 0.272364 1.1856 0.9969 -38.8461
11719 cosmos 0.6854 27237098671.79584 14.0 1.3550875426475442 0.717816 0.6211 0.2542 -33.9915
11781 cosmos 0.3549000024795532 23044863883.59121 17.5 2.0216225920343684 1.10647 1.5729 0.6895 63.4375
11919 cosmos 1.004699945449829 27540468300.802032 10.5 13.53347020847121 0.533316 1.3084 0.3549 41.3261
12033 cosmos 0.6867 56396251241.81481 12.5 16.79694865088218 0.500754 1.6275 0.3986 -24.5212
12146 cosmos 0.6126000285148621 22260189928.62231 7.5 26.360354810501942 0.358068 1.406 0.7229 -36.1969
12199 cosmos 0.4411 26977117337.613712 18.0 1.0035829746869054 0.915408 3.7511 0.2798 -55.3055
12438 cosmos 0.8996 58368164157.93774 10.5 23.472389133717634 0.377082 1.1892 0.8855 -75.8958
12589 cosmos 0.48249998688697815 147277472007.15952 28.5 2.6472908940558453 1.54547 4.4045 0.75 68.0
12606 cosmos 0.6018000245094299 112781219363.24619 21.5 5.756047366430854 0.990036 3.0171 0.34 -60.0
12609 cosmos 0.2193 19384865582.498337 14.5 1.5848437008509204 0.837768 4.5681 0.56 90.0
12639 cosmos 0.671 27022247843.869022 12.5 7.6561583731661065 0.457308 4.5072 0.1984 -50.6823
12670 cosmos 0.6632999777793884 30292409496.134502 12.5 8.781266275813806 0.563646 1.2067 0.5631 9.0812
12759 cosmos 0.92330002784729 109384718155.70375 22.5 4.092156721428747 0.84099 1.7778 0.69 11.0
12783 cosmos 0.223 57103207678.162025 22.5 1.6950687676249725 1.50595 1.5543 0.3161 52.5
12978 cosmos 0.8385000228881836 43797773181.24966 8.5 4.987499881627936 0.221778 1.29 0.9508 25.3318
13072 cosmos 0.7584999799728394 25652729036.064285 14.5 7.358633609350088 0.676836 1.1258 0.579 35.3437
13136 cosmos 0.8519999980926514 93590166160.23419 11.5 14.971553289746506 0.592956 1.757 0.2986 74.313
13336 cosmos 0.373 116916673218.11305 25.5 3.812037178524843 1.41309 3.3228 0.6537 -13.8149
13390 cosmos 0.7264000177383423 103676126600.24446 14.5 19.946490017437966 0.419808 2.0874 0.7 -90.0
13429 cosmos 0.4641999900341034 22479896643.240433 7.5 11.40220843991488 0.214938 2.2237 0.6444 -77.8831
13584 cosmos 0.339206448082135 16537589634.620802 14.5 2.595265366108163 1.12082 1.3766 0.9542 5.7922
13600 cosmos 0.9416000247001648 83971185900.85062 11.5 36.92978372900883 0.370968 1.755 0.47 -85.0
13672 cosmos 0.4757 33159964109.7925 18.5 2.6871273845583996 0.98889 1.0277 0.3657 -31.2562
13709 cosmos 0.7222 25362215204.216125 11.5 6.808630928267849 0.58737 1.2469 0.78 -15.0
13713 cosmos 0.9405999779701233 27945564818.432728 7.5 45.020861795156954 0.269742 1.5014 0.5915 61.9035
13728 cosmos 0.6879 32391194560.58012 9.5 15.23988985148733 0.372318 1.3642 0.4676 72.3974
13815 cosmos 0.6865000128746033 151162964486.4984 24.5 5.579038618704758 1.32052 1.4031 0.93 0.0
14107 cosmos 0.6787999868392944 14770294909.921616 6.5 14.68163690221741 0.126984 4.032 0.3652 -1.2684
14316 cosmos 0.217550411333846 16190031164.607832 10.5 3.915055644268787 0.687264 2.2332 0.4652 -54.5909
14342 cosmos 0.2228 8229726159.008218 6.5 6.651451278648939 0.41973 2.62 0.5026 62.3071
14709 cosmos 0.7581999897956848 97489601385.27599 14.5 11.511027938034431 0.460512 1.3718 0.468 61.5871
14935 cosmos 0.661928 15123482388.183657 9.5 6.458000632897755 0.253062 2.0964 0.1728 24.791
15095 cosmos 0.728261 109162982848.67905 16.5 18.257384977428245 0.674268 2.6156 0.59 84.0
15138 cosmos 0.9581999778747559 61404871459.710075 13.5 10.438502493257365 0.616854 2.7145 0.4695 -7.1044
15251 cosmos 0.4278999865055084 19166955480.820652 11.5 4.13197891591061 0.850266 1.0351 0.2393 48.5681
15273 cosmos 0.8944000005722046 24056894887.12634 10.5 13.478179857527753 0.490344 1.0272 0.879 37.0582
15340 cosmos 0.9074000120162964 82449230127.14261 13.5 4.696638129893711 0.54255 1.4021 0.95 3.0
15371 cosmos 0.21969999372959137 9816225466.466692 8.5 3.2960331342008233 0.42549 1.7365 0.3831 -62.7324
15418 cosmos 0.7271999716758728 12444280398.347378 8.5 13.773691655874675 0.321036 1.8956 0.5925 89.4274
15459 cosmos 0.2187 37833797209.08914 14.5 2.06413101970238 0.740346 2.1562 0.95 10.0
15603 cosmos 0.2216 22255565735.853367 12.5 4.794787062316256 1.10702 5.1087 0.79 -30.0
15700 cosmos 0.729200005531311 122575571782.39221 22.5 10.523609748872264 0.509346 6.7013 0.5186 16.7489
15928 cosmos 0.221614283564716 8590079465.049229 9.5 1.885434401117741 0.780804 2.3084 0.95 45.0
15994 cosmos 0.3747 41210178644.024956 12.5 10.232048701237053 0.32217 5.0136 0.4245 -36.6264
16162 cosmos 0.7493000030517578 52354456776.83086 9.5 21.2388009741446 0.364092 1.9637 0.2562 -50.1896
16199 cosmos 0.9269999861717224 215982958014.7565 15.5 31.240750602015027 0.579036 4.1981 0.5478 -30.9598
16245 cosmos 0.6884 57830433252.86273 19.5 5.3666989466969826 0.85257 2.8563 0.65 -70.0
16249 cosmos 0.6826 79952707981.05942 11.5 24.191127573459873 0.38091 3.2263 0.5972 -77.7954
16487 cosmos 0.7549999952316284 17561166315.868572 10.5 12.22605814982254 0.594054 1.0923 0.5191 6.1894
16494 cosmos 0.3393 42238606642.17929 16.5 6.1852111578175215 0.926232 1.5334 0.65 -15.0
16499 cosmos 0.2212 28055195490.649277 15.5 2.1918222900809425 0.76839 4.4639 0.5 65.0
16538 cosmos 0.9020000100135803 62692162870.978745 9.5 29.297118598432622 0.27567 3.5126 0.312 -77.9651
16547 cosmos 0.683 33592512631.56306 10.5 13.178305991968005 0.349572 1.039 0.9412 5.0569
16563 cosmos 0.6834999918937683 124782012296.58676 16.5 18.39418084278985 0.625356 4.2598 0.5937 30.6842
16611 cosmos 0.7975 29946235855.569344 10.5 16.75395705415187 0.520008 1.2903 0.55 -45.0
16665 cosmos 0.7964 48436201741.26877 10.5 18.334660491504273 0.370902 0.9967 0.5357 51.405
16789 cosmos 0.3488 30055506494.859142 15.5 1.587804801840444 0.384858 4.6382 0.6566 -20.0578
16816 cosmos 0.3466 12176371207.922577 17.5 1.359888917622102 1.10516 1.2887 0.2564 -50.8296
16921 cosmos 0.8892999887466431 60276047901.19885 13.5 4.793080583150103 0.586542 0.6214 0.8544 -89.8895
17075 cosmos 0.5701000094413757 29914323881.875385 9.5 14.37231528689666 0.36168 2.6792 0.66 0.0
17415 cosmos 0.939 31938660137.672096 8.5 15.111486303354813 0.317172 1.4017 0.7303 62.1099
17554 cosmos 0.2652 37064512770.18957 20.5 1.3379684179155766 1.49164 1.3354 0.4013 -78.912
17578 cosmos 0.7567999958992004 43362506625.47783 21.5 2.721563122087223 0.68457 1.4517 0.3128 20.7997
17640 cosmos 0.21780000627040863 13608208904.713207 11.5 2.8944430801992613 0.644034 1.8216 0.3399 13.5904
17667 cosmos 0.8707000017166138 27901844805.03714 14.5 7.491435191134866 0.852636 1.7518 0.83 70.0
17700 cosmos 0.21979999542236328 11932854324.919607 8.5 4.86520788842669 0.742692 2.0566 0.75 90.0
17760 cosmos 0.5167 37074087332.09444 16.5 5.075295502892116 0.838218 1.2598 0.46 -45.0
17779 cosmos 0.352 34536406458.112175 12.5 4.393046353173063 0.451266 5.4314 0.8 14.0
17911 cosmos 0.8547999858856201 159340540518.20197 21.5 18.37709784061063 0.970302 2.7802 0.4776 -51.1109
17919 cosmos 0.8927000164985657 27468767474.953785 12.5 7.689887435936548 0.520206 0.9731 0.5469 -65.7124
18147 cosmos 0.8851000070571899 21139749090.256905 6.5 45.20076260652348 0.268386 2.5024 0.5599 60.51
18190 cosmos 0.6759999990463257 81475039872.32297 12.5 27.257391186193363 0.630942 2.6771 0.9 0.0
18296 cosmos 0.35207 123991425423.2614 26.5 7.995194453946056 0.98304 5.9412 0.63 -30.0
18435 cosmos 0.8432000279426575 15057701646.813335 7.5 22.296492171489014 0.449424 1.9198 0.5129 -44.889
18465 cosmos 0.850600004196167 24901946674.81071 10.5 4.574110165156041 0.411894 2.7381 0.5296 4.9849
18565 cosmos 0.8598999977111816 28057133222.02488 8.5 7.077794909754923 0.58473 0.48 0.2206 40.6159
18773 cosmos 0.4291999936103821 42215788596.93756 11.5 12.202857266355888 0.287784 3.1568 0.3946 -81.8513
18790 cosmos 0.22269999980926514 29694353730.332935 15.5 1.6755455914590827 0.6897 4.5924 0.5562 -80.2934
18919 cosmos 0.8992999792098999 23470545273.530594 6.5 17.228982938714402 0.286986 0.7167 0.3897 -37.8664
18982 cosmos 0.7260000109672546 25198934046.588356 10.5 12.110973318525087 0.441444 1.1944 0.4307 13.7619
19000 cosmos 0.9154999852180481 17518617683.884987 14.5 7.205188289207191 1.03267 1.0951 0.5289 57.0448
19065 cosmos 0.9039999842643738 43545148164.50782 12.5 25.849502362809915 0.65649 1.1559 0.8693 4.8383
19170 cosmos 0.151785943295461 13283522870.065145 12.5 1.9025290326243953 1.84621 1.0472 0.6 -60.0
19399 cosmos 0.22200000286102295 12803112376.550135 10.5 1.9558975158537644 0.713226 2.5243 0.8 20.0
19472 cosmos 0.6054 14299305223.933416 12.5 5.294536724384395 0.827796 0.8928 0.4903 35.0916
19639 cosmos 0.7020999789237976 19431567030.91528 12.5 7.375505038412105 0.429342 3.1436 0.8897 -75.0786
19670 cosmos 0.9117000102996826 13084467094.522552 12.75 2.6787872068472476 0.863196 0.4768 0.2197 81.0111
19758 cosmos 0.9329000115394592 26472499932.91301 10.0 9.63066800101774 0.55392 1.2061 0.2909 17.2722
19948 cosmos 0.7093999981880188 17766102629.479855 6.5 32.35375041688614 0.201498 2.1896 0.3671 50.8034
20018 cosmos 0.8898000121116638 153530461452.44833 15.5 29.321748638323108 0.324672 2.7717 0.69 90.0
20307 cosmos 0.2586 23487320455.580914 16.5 1.0593124875249698 0.903762 1.8372 0.5 -18.0
20349 cosmos 0.6887 29994743562.575542 17.5 3.4586797422992914 0.85479 1.773 0.5908 48.4641
20440 cosmos 0.7059000134468079 66582348868.12576 16.5 9.187985742658487 0.794694 1.4655 0.7 -40.0
20549 cosmos 0.2224 51849827301.08594 22.5 2.5890427335985535 1.97188 5.1931 0.9 -10.0
20606 cosmos 0.7302 58299563482.48069 15.5 9.096946845776502 0.592068 1.8184 0.331 -15.7635
20619 cosmos 0.3479 57458556302.77483 16.5 3.9663046099778114 0.700752 4.8474 0.5351 -68.5683
20620 cosmos 0.727 54454077759.8113 15.5 7.2363774595466825 0.594396 1.3238 0.65 -19.0
20657 cosmos 0.9049999713897705 22801768586.98278 11.5 13.279684917431975 0.625452 1.5419 0.5207 -4.7437
20680 cosmos 0.8522 60111383952.10531 20.5 4.329459887869035 0.881376 2.8541 0.7 -67.5
20705 cosmos 0.9251000285148621 20867882399.683643 8.0 16.231588021201887 0.219576 7.2232 0.25 -52.0
20795 cosmos 0.6557999849319458 189726409955.04132 20.5 11.298024224262107 0.807234 1.8577 0.3747 -23.9567
20931 cosmos 0.2649 29644157717.10274 21.5 1.002079949108424 1.24752 1.9243 0.2407 69.9142
21022 cosmos 0.2223 45687777951.85168 23.5 1.2813524924415893 1.06729 4.1618 0.5 -7.5
21027 cosmos 0.7289000153541565 47860873801.70843 20.5 4.7091601625878425 0.736638 2.3465 0.3831 -12.8563
21053 cosmos 0.7570000290870667 28416749825.02475 19.5 3.3661703373803866 0.97149 1.5189 0.67 -20.0
21226 cosmos 0.7268999814987183 25289701832.723797 8.5 21.571271002211525 0.348282 1.8353 0.8611 -75.3042
21332 cosmos 0.8935999870300293 12553490412.91546 5.5 32.4614684303626 0.285342 2.1516 0.8028 -80.4311
21531 cosmos 0.7494999766349792 65226810342.46981 10.5 18.12645406288247 0.250914 1.8259 0.5699 -10.0705
21725 cosmos 0.218 8866045912.588945 8.5 4.951444614971469 0.541482 1.3699 0.4376 -56.8434
21870 cosmos 0.655 22837474771.109936 12.0 4.143972714649271 0.461202 2.3534 0.2346 57.6261
21875 cosmos 0.8970999717712402 75274783302.40247 14.5 20.35746129811844 0.715734 1.9188 0.9108 27.8578
21894 cosmos 0.2197 22210050427.137444 11.5 3.3128586822095376 0.879954 1.8825 0.5685 -78.2227
21942 cosmos 0.9835000038146973 26157357172.60589 11.5 18.55572437168435 0.554916 0.9778 0.8534 -20.7104
22082 cosmos 0.5072 16431372364.26677 11.5 7.082955485293437 0.985506 5.6032 0.9 19.0
22097 cosmos 0.3384000062942505 17808390761.640198 14.5 2.3984716796203402 1.38976 1.0728 0.05 14.0
22125 cosmos 0.5996000170707703 30240626023.077606 16.5 3.77288992614595 0.884214 1.8534 0.86 -45.0
22228 cosmos 0.8992999792098999 204161722639.97498 20.5 17.637485524307806 0.65805 5.0064 0.5321 -11.5724
22492 cosmos 0.732699990272522 179123029792.14255 21.5 21.176706286046006 0.827766 6.2251 0.5 -20.0
22569 cosmos 0.895799994468689 133992907809.27574 18.5 12.001731423642651 0.537702 3.676 0.55 -15.0
22665 cosmos 0.911798 86253960616.63654 25.5 1.389763086921703 0.905064 2.1038 0.55 -55.0
22745 cosmos 0.831936 52278145845.39282 13.5 16.223462898783094 0.490482 4.4091 0.65 -24.4683
22754 cosmos 0.6280999779701233 37890346449.482605 9.5 15.4720128396337 0.311934 1.591 0.483 -44.0095
22918 cosmos 0.5058 15884320627.045502 11.5 4.625298047829093 0.633204 0.8846 0.5315 -7.6437
23000 cosmos 0.6705 35645515633.425476 7.5 34.127148534284316 0.2859 5.5147 0.5042 5.4678
23047 cosmos 0.977 19904072823.208035 11.5 10.64255407539219 0.642816 0.8088 0.7423 -49.1671
23196 cosmos 0.7278 60814738047.37438 11.5 23.810881483529514 0.243774 3.7157 0.4035 3.0363
23247 cosmos 0.7272 39878795817.6097 9.5 20.38479906201097 0.274344 2.2352 0.4175 -36.5823
23262 cosmos 0.5074 74039398236.57568 11.5 22.049842460850186 0.368148 2.7981 0.4753 47.5156
23949 cosmos 0.5069 104021270347.76613 17.5 11.94744673516214 1.07376 3.4056 0.61 -35.0
24070 cosmos 0.5072 143889745762.3107 16.5 17.583719094759193 0.347898 5.3051 0.46 -50.0
24501 cosmos 0.7283 18449688377.197556 12.5 4.042533090553897 0.63726 1.7637 0.86 -29.0
24541 cosmos 0.732478 44149091788.28751 11.5 19.174579077388927 0.428298 1.9094 0.8 -30.0
