x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
9 0 161.4522 -27.7686 3.7846 0.2536 -13.5989 0.3482 10.4904 0.2726 99.5182 9.4262 0.0494 0.4220 -734.7983 1.1704 9 8 0 1 0 0 3
9 0 161.4522 -27.7686 1.8778 0.1312 -21.3826 0.4167 4.0136 0.4766 18.8920 3.7204 0.0494 0.4220 -734.7983 1.1704 9 8 0 1 0 0 3
9 0 161.4522 -27.7686 0.4188 0.0510 -2.6922 1.3655 25.4568 1.1711 26.7236 4.6342 0.0494 0.4220 -734.7983 1.1704 9 8 0 1 0 1 3
10 0 161.3626 -27.7686 11.5453 0.4591 -4.9402 0.0199 1.2884 0.0249 37.2870 2.2333 0.0523 0.0960 -683.9151 1.4071 7 8 0 1 0 0 1
10 0 161.3626 -27.7686 5.7193 0.2447 -1.3168 0.2893 3.3472 0.2303 47.9864 5.4962 0.0523 0.0960 -683.9151 1.4071 7 8 0 1 0 0 1
10 0 161.3626 -27.7686 2.1220 0.0593 -22.1316 0.0612 3.1823 0.0831 16.9269 0.9275 0.0523 0.0960 -683.9151 1.4071 7 8 0 0 0 0 1
10 0 161.3626 -27.7686 7.0837 0.2499 -8.1308 0.0744 1.8714 0.0483 33.2288 2.0605 0.0523 0.0960 -683.9151 1.4071 7 8 0 0 0 0 1
10 0 161.3626 -27.7686 4.1869 0.0797 -13.6754 0.3619 10.1238 0.2350 106.2500 4.5346 0.0523 0.0960 -683.9151 1.4071 7 8 0 1 1 0 1
10 0 161.3626 -27.7686 3.6458 0.3004 0.2968 0.0342 1.1919 0.0545 10.8925 1.4365 0.0523 0.0960 -683.9151 1.4071 7 8 0 1 0 0 1
10 0 161.3626 -27.7686 0.5225 0.0653 -4.0349 1.1618 23.6945 1.0587 31.0323 5.4398 0.0523 0.0960 -683.9151 1.4071 7 8 0 1 1 1 1
11 0 161.2730 -27.7686 5.4172 0.3100 -4.9836 0.0225 0.9823 0.0357 13.3385 1.2758 0.0530 0.5690 -695.7447 1.1985 9 7 0 1 0 0 3
11 0 161.2730 -27.7686 3.7888 4.1256 -0.2490 0.3663 1.0277 0.1657 9.7607 13.9159 0.0530 0.5690 -695.7447 1.1985 9 7 0 1 0 0 3
11 0 161.2730 -27.7686 2.4886 0.1320 -21.8058 0.1014 3.6705 0.1290 22.8963 2.0619 0.0530 0.5690 -695.7447 1.1985 9 7 0 0 0 0 3
11 0 161.2730 -27.7686 1.3359 0.1187 -9.1152 0.0636 0.8696 0.0783 2.9120 0.5442 0.0530 0.5690 -695.7447 1.1985 9 7 0 0 0 0 3
11 0 161.2730 -27.7686 3.6099 0.1462 -14.0785 0.7406 10.1376 0.4638 91.7304 8.0820 0.0530 0.5690 -695.7447 1.1985 9 7 0 1 0 0 3
11 0 161.2730 -27.7686 3.1041 3.5409 1.2533 1.4105 1.3064 0.6767 10.1654 22.8676 0.0530 0.5690 -695.7447 1.1985 9 7 0 1 0 0 3
11 0 161.2730 -27.7686 10.1021 0.3494 -5.4040 0.2113 3.4822 0.1076 88.1776 5.8676 0.0530 0.5690 -695.7447 1.1985 9 7 0 1 0 0 3
11 0 161.2730 -27.7686 1.3321 1.1344 3.0525 3.2163 2.7446 1.2872 9.1641 15.7624 0.0530 0.5690 -695.7447 1.1985 9 7 0 1 0 0 3
11 0 161.2730 -27.7686 0.5007 0.0748 -2.7883 1.4828 23.2870 1.1033 29.2242 5.9601 0.0530 0.5690 -695.7447 1.1985 9 7 0 1 0 1 3
